pctResp,Jones,Moore
1,62,38
2,58,41
5,48.4,50.4
7,45.6,53
13,49,49.8
16,47.9,50.8
25,46.5,51.8
30,46.7,52
40,47,52
46,46.7,52
54,48,50.6
69,46.8,51.8
76,48.1,50.5
85,49,49.5
85.5,49,49
86.5,49.6,48.9
88,49.6,48.8
92,49.6,48.9
100,49.9,48.4
