"STATION","NAME","DATE","PRCP"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-07","0.83"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-08","0.34"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-09","0.69"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-10","0.08"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-11","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-12","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-13","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-14","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-15","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-16","0.36"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-17","1.05"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-18","0.12"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-19","0.13"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-20","1.83"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-21","0.45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-22","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-23","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-24","0.01"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-25","0.02"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-26","0.17"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-27","0.05"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-28","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-01","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-02","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-03","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-04","1.05"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-05","0.29"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-06","0.39"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-07","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-08","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-09","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-10","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-11","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-12","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-13","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-14","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-15","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-16","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-17","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-18","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-19","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-20","0.86"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-21","0.61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-22","0.09"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-23","0.00"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-03-24","0.58"
